NoCom,RefProd,PrixUnit,Qte,Remise
10605,59,55.0000,20,0.05
10605,60,34.0000,70,0.05
10605,71,21.5000,15,0.05
10606,4,22.0000,20,0.2
10606,55,24.0000,20,0.2
10606,62,49.3000,10,0.2
10607,7,30.0000,45,0
10607,17,39.0000,100,0
10607,33,2.5000,14,0
10607,40,18.4000,42,0
10607,72,34.8000,12,0
10608,56,38.0000,28,0
10609,1,18.0000,3,0
10609,10,31.0000,10,0
10609,21,10.0000,6,0
10610,36,19.0000,21,0.25
10611,1,18.0000,6,0
10611,2,19.0000,10,0
10611,60,34.0000,15,0
10612,10,31.0000,70,0
10612,36,19.0000,55,0
10612,49,20.0000,18,0
10612,60,34.0000,40,0
10612,76,18.0000,80,0
10613,13,6.0000,8,0.1
10613,75,7.7500,40,0
10614,11,21.0000,14,0
10614,21,10.0000,8,0
10614,39,18.0000,5,0
10615,55,24.0000,5,0
10616,38,263.5000,15,0.05
10616,56,38.0000,14,0
10616,70,15.0000,15,0.05
10616,71,21.5000,15,0.05
10617,59,55.0000,30,0.15
10618,6,25.0000,70,0
10618,56,38.0000,20,0
10618,68,12.5000,15,0
10619,21,10.0000,42,0
10619,22,21.0000,40,0
10620,24,4.5000,5,0
10620,52,7.0000,5,0
10621,19,9.2000,5,0
10621,23,9.0000,10,0
10621,70,15.0000,20,0
10621,71,21.5000,15,0
10622,2,19.0000,20,0
10622,68,12.5000,18,0.2
10623,14,23.2500,21,0
10623,19,9.2000,15,0.1
10623,21,10.0000,25,0.1
10623,24,4.5000,3,0
10623,35,18.0000,30,0.1
10624,28,45.6000,10,0
10624,29,123.7900,6,0
10624,44,19.4500,10,0
10625,14,23.2500,3,0
10625,42,14.0000,5,0
10625,60,34.0000,10,0
